provider,model,n,errors,macro_agg_proxy,acc7_5,kcal_acc20,mae_kcal,mae_carbs,avg_in,avg_out,cost_per_call,cost_per_1k
google,gemini-3-flash-preview,447,53,-,54.59,65.55,95.45,15.40,400,1825,0.004683,4.683
google,gemini-3-pro-preview,151,349,-,54.30,74.83,73.55,13.22,412,1542,0.015939,15.939
google,gemini-2.5-flash,154,346,-,47.40,62.99,124.84,19.25,400,2340,0.001464,1.464
openai,gpt-4.1-nano,20,0,-,15.00,30.00,265.10,48.87,399,211,0.000124,0.124
google,gemini-2.5-flash-lite,500,0,-,26.80,29.80,222.91,29.13,406,166,0.000080,0.080
openai,gpt-4.1,331,169,-,40.79,53.47,136.93,19.90,398,261,0.002886,2.886
openai,gpt-4.1-mini,500,0,-,37.20,54.00,127.43,20.72,401,236,0.000538,0.538
openai,gpt-4.1-nano,500,0,-,21.00,36.40,205.12,35.84,401,217,0.000127,0.127
anthropic,claude-haiku-4-5-20251001,435,65,-,32.64,51.03,141.66,22.44,453,599,0.002757,2.757
ollama,gpt-oss:120b,197,3,-,48.73,67.01,99.42,16.46,465,1477,0.000000,0.000
ollama,gemma3:27b,200,0,-,19.50,28.50,207.26,26.59,446,170,0.000000,0.000
ollama,gpt-oss:120b,498,2,-,49.60,59.64,118.71,18.56,464,1422,0.000000,0.000
google,gemini-3-flash-preview,431,69,-,54.06,65.89,90.13,15.45,397,1818,0.004664,4.664
google,gemini-3-flash-preview,440,60,-,54.55,67.50,97.46,15.39,399,1811,0.004647,4.647
google,gemini-3-flash-preview,433,67,-,54.27,66.74,92.31,14.57,400,1835,0.004707,4.707
google,gemini-3-flash-preview,429,71,-,55.71,66.67,90.15,14.18,1071,2036,0.005411,5.411
